drug_name,medical_condition,activity,rx_otc,pregnancy_category,csa,alcohol,rating,no_of_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
molnupiravir,Covid 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" a""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thorization to proceed for Phase 3 trial for its COVID-19 Vaccine Candidate, INO-4800. MRT5500 Vaccine platform: mRNA vaccine On September 28, two weeks after the second injection. SCB-2019 (CpG 1018/Alum) Vaccine platform: Protein Subunit On Sep 22, 2021 Clover Pharmaceuticals announced that the randomized, double-blinded, placebo-controlled Phase2/3 SPECTRA Trial had met its primary and secondary endpoints. Efficacy against severe COVID-19 and hospitalization was 100%, and efficacy against moderate-to-severe COVID-19 was 84%. Efficacy against any severity of the Delta variant of COVID-19 was 79%. The SCB-2019 antigen is combined with CpG 1018 advanced adjuvant and aluminum hydroxide (alum). Sputnik V (Gam-COVID-Vac) Vaccine platform: Non-Replicating Viral Vector On February 2, 2021 interim analysis of results of randomised controlled Phase 3 trial showed Gam-COVID-Vac had a 91.6% efficacy against COVID-19. It is a combined vector vaccine based on recombinant adenovirus type 26 (rAd26) and recombinant adenovirus type 5 (rAd5) which are administered intramuscularly separately with a 21-day interval. V590 and V591 Vaccine platform: Replicating Viral Vector Merck announced a collaboration with IAVI (International AIDS Vaccine Initiative) to develop an investigational vaccine against SARS-CoV-2, using the recombinant vesicular stomatitis virus (rVSV) technology that is the basis for its Ebola Zaire virus vaccine (Ervebo). On January 25,,, ChAdOx1 nCoV-19) Vaccine platform: Non-Replicating Viral Vector Vaxzevria was developed by Oxford University閳ユ獨 Jenner Institute, with AstraZeneca responsible for development and worldwide manufacturing and distribution. A randomised, double-blinded, placebo-controlled phase III study (D8110C00001) of Vaxzevria in the United States, Peru and Chile showed vaccine efficacy was 62.6% in patients who had had two doses within the recommended dosing interval. Vaxzevria is authorised for use in the European Union. VXA-CoV2-1 Vaccine platform: Non-Replicating Viral Vector On May 3," 2021 Vaxart announced VXA-CoV2-1 would move into Phase 2 studies. It is an oral tablet COVID-19 vaccine which targets both the spike protein (S) and nucleoprotein (N). More information Information for Clinicians on Therapeutic Options for COVID-19 Patients (CDC) COVID-19 Treatment Guidelines (NIH) Assessment of Evidence for COVID-19-Related Treatments (ASHP) """"Solidarity"""" Clinical Trial for COVID-19 Treatments (WHO) Convalescent plasma therapy DRAFT Landscape of COVID-19 Candidate Vaccines (WHO) Fact Sheet: Explaining Operation Warp Speed (U.S. Department of Health & Human Services) References Centers for Disease Control and Prevention Coronavirus Disease 2019 (COVID-19) https://www.cdc.gov/coronavirus/2019-ncov/index.html Accessed February 18", 2020 World Health Organization Coronavirus disease (COVID-19) outbreak https://www.who.int/emergencies/diseases/novel- coronavirus-2019 Accessed February 18, 2020 Shanghai officials reveal novel coronavirus transmission modes https://www.chinadaily.com.cn/a/202002/08/WS5e3e7d97a310128217275fc3.html Accessed February 18, 2020 Flu and HIV Drugs Show Efficacy Against Coronavirus https://www.the-scientist.com/news-opinion/flu-and-anti-hiv-drugs-show-efficacy-against-coronavirus-67052 Accessed February 18, 2020 The Incubation Period of Coronavirus Disease 2019 (COVID-19) From Publicly Reported Confirmed Cases: Estimation and Application https://annals.org/aim/fullarticle/2762808/incubation-period-coronavirus-disease-2019-covid-19-from-publicly-reported Symptoms of Coronavirus https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html Accessed April30, 2020 Shanghai officials reveal novel coronavirus transmission modes www.chinadaily.com.cn/a/202002/08/WS5e3e7d97a310128217275fc3.html Accessed April30, 2020 How to Protect Yourself & Others https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/prevention.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fprepare%2Fprevention.html Tobacco-Use Disparity in Gene Expression of ACE2, the Receptor of 2019-nCov https://www.preprints.org/manuscript/202002.0051/v1 Accessed February 18, 2020 Reduce your risk of serious lung disease caused by corona virus by quitting smoking and vaping https://tobacco.ucsf.edu/reduce-your-risk-serious-lung-disease-caused-corona-virus-quitting-smoking-and-vaping Accessed April 20, 2020 Relationship between the ABO Blood Group and the COVID-19 Susceptibility https://www.medrxiv.org/content/10.1101/2020.03.11.20031096v2 Accessed March 16, 2020 People Who Are at Higher Risk for Severe Illness - Older Adults https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/older-adults.html Accessed April 20, 2020 Clinical trials for Baricitinib https://clinicaltrials.gov/ct2/results?cond=COVID&term=baricitinib&cntry=&state=&city=&dist= Accessed April 30, 2020 Clinical trials for Bevacizumab https://clinicaltrials.gov/ct2/show/NCT04275414 Accessed April 30, 2020 Expert Consensus on Chloroquine Phosphate for the Treatment of Novel Coronavirus Pneumonia https://pubmed.ncbi.nlm.nih.gov/32075365/ Accessed April 30, 2020 Colchicine Coronavirus SARS-CoV2 Trial (COLCORONA) (COVID-19) https://clinicaltrials.gov/ct2/show/NCT04322682 Accessed April 30, 2020 Carolina researchers playing a key role in the development of new COVID-19 treatment https://www.unc.edu/posts/2020/04/06/carolina-researchers-key-role-in-the-development-of-new-covid-19-treatment/ Accessed April 30, 2020 Favipiravir http://global.chinadaily.com.cn/a/202002/17/WS5e49efc2a310128217277fa3.html Accessed April 30, 2020 Fingolimod in COVID-19 https://clinicaltrials.gov/ct2/show/NCT04280588 Accessed April 30, 2020 Hydroxychloroquine and Azitrhomy as a treatment for COVID-19 https://www.mediterranee-infection.com/hydroxychloroquine-and-azithromycin-as-a-treatment-of-covid-19/ Accessed April 30, 2020 In Vitro Antiviral Activity and Projection of Optimized Dosing Design of Hydroxychloroquine for the Treatment of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) https://pubmed.ncbi.nlm.nih.gov/32150618/ Accessed April 30, 2020 Lab experiments show anti-parasitic drug, Ivermectin, eliminates SARS-CoV-2 in cells in 48 hours https://www.monash.edu/discovery-institute/news-and-events/news/2020-articles/Lab-experiments-show-anti-parasitic-drug,#NAME?,-eliminates-SARS-CoV-2-in-cells-in-48-hours Accessed April 30, 2020 Bangkok Post https://www.bangkokpost.com/thailand/general/1860329/woman-74-recovers-from-virus-after-thai-cocktail Accessed April 30, 2020 A Trial of Lopinavir閳ユ彍itonavir in Adults Hospitalized with Severe Covid-19 https://www.nejm.org/doi/full/10.1056/NEJMoa2001282 Accessed April 30, 2020 Efficacy and Safety of Corticosteroids in COVID-19 https://clinicaltrials.gov/ct2/show/NCT04273321 Accessed April 30, 2020 Clinical trials for tocilizumab in COVID-19 https://clinicaltrials.gov/ct2/results?cond=COVID&term=tocilizumab&cntry=&state=&city=&dist= Accessed April 30, 2020 Clinical trials for umifenovir in COVID-19 https://clinicaltrials.gov/ct2/results?cond=COVID&term=umifenovir&cntry=&state=&city=&dist= Accessed April 30, 2020 Safety and Immunogenicity Study of 2019-nCoV Vaccine (mRNA-1273) for Prophylaxis SARS CoV-2 Infection (COVID-19) https://clinicaltrials.gov/ct2/show/NCT04283461 Accessed April 30, 2020 CSIRO begins testing Covid-19 vaccineshttps://www.csiro.au/en/News/News-releases/2020/CSIRO-begins-testing-Covid-19-vaccines Accessed April 30, 2020 MIGAL閳ユ獨 Coronavirus Vaccine Project https://www.migal.org.il/en/node/7010 Accessed April 30," 2020 Efficacy and tolerability of bevacizumab in patients with severe Covid-19: https://www.nature.com/articles/s41467-021-21085-8""",9%,Rx,,N,,4.7,4,https://www.drugs.com/condition/covid-19.html,https://www.drugs.com/molnupiravir.html
REGEN-COV,Covid 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" a""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thorization to proceed for Phase 3 trial for its COVID-19 Vaccine Candidate, INO-4800. MRT5500 Vaccine platform: mRNA vaccine On September 28, two weeks after the second injection. SCB-2019 (CpG 1018/Alum) Vaccine platform: Protein Subunit On Sep 22, 2021 Clover Pharmaceuticals announced that the randomized, double-blinded, placebo-controlled Phase2/3 SPECTRA Trial had met its primary and secondary endpoints. Efficacy against severe COVID-19 and hospitalization was 100%, and efficacy against moderate-to-severe COVID-19 was 84%. Efficacy against any severity of the Delta variant of COVID-19 was 79%. The SCB-2019 antigen is combined with CpG 1018 advanced adjuvant and aluminum hydroxide (alum). Sputnik V (Gam-COVID-Vac) Vaccine platform: Non-Replicating Viral Vector On February 2, 2021 interim analysis of results of randomised controlled Phase 3 trial showed Gam-COVID-Vac had a 91.6% efficacy against COVID-19. It is a combined vector vaccine based on recombinant adenovirus type 26 (rAd26) and recombinant adenovirus type 5 (rAd5) which are administered intramuscularly separately with a 21-day interval. V590 and V591 Vaccine platform: Replicating Viral Vector Merck announced a collaboration with IAVI (International AIDS Vaccine Initiative) to develop an investigational vaccine against SARS-CoV-2, using the recombinant vesicular stomatitis virus (rVSV) technology that is the basis for its Ebola Zaire virus vaccine (Ervebo). On January 25,,, ChAdOx1 nCoV-19) Vaccine platform: Non-Replicating Viral Vector Vaxzevria was developed by Oxford University閳ユ獨 Jenner Institute, with AstraZeneca responsible for development and worldwide manufacturing and distribution. A randomised, double-blinded, placebo-controlled phase III study (D8110C00001) of Vaxzevria in the United States, Peru and Chile showed vaccine efficacy was 62.6% in patients who had had two doses within the recommended dosing interval. Vaxzevria is authorised for use in the European Union. VXA-CoV2-1 Vaccine platform: Non-Replicating Viral Vector On May 3," 2021 Vaxart announced VXA-CoV2-1 would move into Phase 2 studies. It is an oral tablet COVID-19 vaccine which targets both the spike protein (S) and nucleoprotein (N). More information Information for Clinicians on Therapeutic Options for COVID-19 Patients (CDC) COVID-19 Treatment Guidelines (NIH) Assessment of Evidence for COVID-19-Related Treatments (ASHP) """"Solidarity"""" Clinical Trial for COVID-19 Treatments (WHO) Convalescent plasma therapy DRAFT Landscape of COVID-19 Candidate Vaccines (WHO) Fact Sheet: Explaining Operation Warp Speed (U.S. Department of Health & Human Services) References Centers for Disease Control and Prevention Coronavirus Disease 2019 (COVID-19) https://www.cdc.gov/coronavirus/2019-ncov/index.html Accessed February 18", 2020 World Health Organization Coronavirus disease (COVID-19) outbreak https://www.who.int/emergencies/diseases/novel- coronavirus-2019 Accessed February 18, 2020 Shanghai officials reveal novel coronavirus transmission modes https://www.chinadaily.com.cn/a/202002/08/WS5e3e7d97a310128217275fc3.html Accessed February 18, 2020 Flu and HIV Drugs Show Efficacy Against Coronavirus https://www.the-scientist.com/news-opinion/flu-and-anti-hiv-drugs-show-efficacy-against-coronavirus-67052 Accessed February 18, 2020 The Incubation Period of Coronavirus Disease 2019 (COVID-19) From Publicly Reported Confirmed Cases: Estimation and Application https://annals.org/aim/fullarticle/2762808/incubation-period-coronavirus-disease-2019-covid-19-from-publicly-reported Symptoms of Coronavirus https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html Accessed April30, 2020 Shanghai officials reveal novel coronavirus transmission modes www.chinadaily.com.cn/a/202002/08/WS5e3e7d97a310128217275fc3.html Accessed April30, 2020 How to Protect Yourself & Others https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/prevention.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fprepare%2Fprevention.html Tobacco-Use Disparity in Gene Expression of ACE2, the Receptor of 2019-nCov https://www.preprints.org/manuscript/202002.0051/v1 Accessed February 18, 2020 Reduce your risk of serious lung disease caused by corona virus by quitting smoking and vaping https://tobacco.ucsf.edu/reduce-your-risk-serious-lung-disease-caused-corona-virus-quitting-smoking-and-vaping Accessed April 20, 2020 Relationship between the ABO Blood Group and the COVID-19 Susceptibility https://www.medrxiv.org/content/10.1101/2020.03.11.20031096v2 Accessed March 16, 2020 People Who Are at Higher Risk for Severe Illness - Older Adults https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/older-adults.html Accessed April 20, 2020 Clinical trials for Baricitinib https://clinicaltrials.gov/ct2/results?cond=COVID&term=baricitinib&cntry=&state=&city=&dist= Accessed April 30, 2020 Clinical trials for Bevacizumab https://clinicaltrials.gov/ct2/show/NCT04275414 Accessed April 30, 2020 Expert Consensus on Chloroquine Phosphate for the Treatment of Novel Coronavirus Pneumonia https://pubmed.ncbi.nlm.nih.gov/32075365/ Accessed April 30, 2020 Colchicine Coronavirus SARS-CoV2 Trial (COLCORONA) (COVID-19) https://clinicaltrials.gov/ct2/show/NCT04322682 Accessed April 30, 2020 Carolina researchers playing a key role in the development of new COVID-19 treatment https://www.unc.edu/posts/2020/04/06/carolina-researchers-key-role-in-the-development-of-new-covid-19-treatment/ Accessed April 30, 2020 Favipiravir http://global.chinadaily.com.cn/a/202002/17/WS5e49efc2a310128217277fa3.html Accessed April 30, 2020 Fingolimod in COVID-19 https://clinicaltrials.gov/ct2/show/NCT04280588 Accessed April 30, 2020 Hydroxychloroquine and Azitrhomy as a treatment for COVID-19 https://www.mediterranee-infection.com/hydroxychloroquine-and-azithromycin-as-a-treatment-of-covid-19/ Accessed April 30, 2020 In Vitro Antiviral Activity and Projection of Optimized Dosing Design of Hydroxychloroquine for the Treatment of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) https://pubmed.ncbi.nlm.nih.gov/32150618/ Accessed April 30, 2020 Lab experiments show anti-parasitic drug, Ivermectin, eliminates SARS-CoV-2 in cells in 48 hours https://www.monash.edu/discovery-institute/news-and-events/news/2020-articles/Lab-experiments-show-anti-parasitic-drug,#NAME?,-eliminates-SARS-CoV-2-in-cells-in-48-hours Accessed April 30, 2020 Bangkok Post https://www.bangkokpost.com/thailand/general/1860329/woman-74-recovers-from-virus-after-thai-cocktail Accessed April 30, 2020 A Trial of Lopinavir閳ユ彍itonavir in Adults Hospitalized with Severe Covid-19 https://www.nejm.org/doi/full/10.1056/NEJMoa2001282 Accessed April 30, 2020 Efficacy and Safety of Corticosteroids in COVID-19 https://clinicaltrials.gov/ct2/show/NCT04273321 Accessed April 30, 2020 Clinical trials for tocilizumab in COVID-19 https://clinicaltrials.gov/ct2/results?cond=COVID&term=tocilizumab&cntry=&state=&city=&dist= Accessed April 30, 2020 Clinical trials for umifenovir in COVID-19 https://clinicaltrials.gov/ct2/results?cond=COVID&term=umifenovir&cntry=&state=&city=&dist= Accessed April 30, 2020 Safety and Immunogenicity Study of 2019-nCoV Vaccine (mRNA-1273) for Prophylaxis SARS CoV-2 Infection (COVID-19) https://clinicaltrials.gov/ct2/show/NCT04283461 Accessed April 30, 2020 CSIRO begins testing Covid-19 vaccineshttps://www.csiro.au/en/News/News-releases/2020/CSIRO-begins-testing-Covid-19-vaccines Accessed April 30, 2020 MIGAL閳ユ獨 Coronavirus Vaccine Project https://www.migal.org.il/en/node/7010 Accessed April 30," 2020 Efficacy and tolerability of bevacizumab in patients with severe Covid-19: https://www.nature.com/articles/s41467-021-21085-8""",5%,Rx,,N,,5.5,2,https://www.drugs.com/condition/covid-19.html,https://www.drugs.com/regen-cov.html
sotrovimab,Covid 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" a""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thorization to proceed for Phase 3 trial for its COVID-19 Vaccine Candidate, INO-4800. MRT5500 Vaccine platform: mRNA vaccine On September 28, two weeks after the second injection. SCB-2019 (CpG 1018/Alum) Vaccine platform: Protein Subunit On Sep 22, 2021 Clover Pharmaceuticals announced that the randomized, double-blinded, placebo-controlled Phase2/3 SPECTRA Trial had met its primary and secondary endpoints. Efficacy against severe COVID-19 and hospitalization was 100%, and efficacy against moderate-to-severe COVID-19 was 84%. Efficacy against any severity of the Delta variant of COVID-19 was 79%. The SCB-2019 antigen is combined with CpG 1018 advanced adjuvant and aluminum hydroxide (alum). Sputnik V (Gam-COVID-Vac) Vaccine platform: Non-Replicating Viral Vector On February 2, 2021 interim analysis of results of randomised controlled Phase 3 trial showed Gam-COVID-Vac had a 91.6% efficacy against COVID-19. It is a combined vector vaccine based on recombinant adenovirus type 26 (rAd26) and recombinant adenovirus type 5 (rAd5) which are administered intramuscularly separately with a 21-day interval. V590 and V591 Vaccine platform: Replicating Viral Vector Merck announced a collaboration with IAVI (International AIDS Vaccine Initiative) to develop an investigational vaccine against SARS-CoV-2, using the recombinant vesicular stomatitis virus (rVSV) technology that is the basis for its Ebola Zaire virus vaccine (Ervebo). On January 25,,, ChAdOx1 nCoV-19) Vaccine platform: Non-Replicating Viral Vector Vaxzevria was developed by Oxford University閳ユ獨 Jenner Institute, with AstraZeneca responsible for development and worldwide manufacturing and distribution. A randomised, double-blinded, placebo-controlled phase III study (D8110C00001) of Vaxzevria in the United States, Peru and Chile showed vaccine efficacy was 62.6% in patients who had had two doses within the recommended dosing interval. Vaxzevria is authorised for use in the European Union. VXA-CoV2-1 Vaccine platform: Non-Replicating Viral Vector On May 3," 2021 Vaxart announced VXA-CoV2-1 would move into Phase 2 studies. It is an oral tablet COVID-19 vaccine which targets both the spike protein (S) and nucleoprotein (N). More information Information for Clinicians on Therapeutic Options for COVID-19 Patients (CDC) COVID-19 Treatment Guidelines (NIH) Assessment of Evidence for COVID-19-Related Treatments (ASHP) """"Solidarity"""" Clinical Trial for COVID-19 Treatments (WHO) Convalescent plasma therapy DRAFT Landscape of COVID-19 Candidate Vaccines (WHO) Fact Sheet: Explaining Operation Warp Speed (U.S. Department of Health & Human Services) References Centers for Disease Control and Prevention Coronavirus Disease 2019 (COVID-19) https://www.cdc.gov/coronavirus/2019-ncov/index.html Accessed February 18", 2020 World Health Organization Coronavirus disease (COVID-19) outbreak https://www.who.int/emergencies/diseases/novel- coronavirus-2019 Accessed February 18, 2020 Shanghai officials reveal novel coronavirus transmission modes https://www.chinadaily.com.cn/a/202002/08/WS5e3e7d97a310128217275fc3.html Accessed February 18, 2020 Flu and HIV Drugs Show Efficacy Against Coronavirus https://www.the-scientist.com/news-opinion/flu-and-anti-hiv-drugs-show-efficacy-against-coronavirus-67052 Accessed February 18, 2020 The Incubation Period of Coronavirus Disease 2019 (COVID-19) From Publicly Reported Confirmed Cases: Estimation and Application https://annals.org/aim/fullarticle/2762808/incubation-period-coronavirus-disease-2019-covid-19-from-publicly-reported Symptoms of Coronavirus https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html Accessed April30, 2020 Shanghai officials reveal novel coronavirus transmission modes www.chinadaily.com.cn/a/202002/08/WS5e3e7d97a310128217275fc3.html Accessed April30, 2020 How to Protect Yourself & Others https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/prevention.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fprepare%2Fprevention.html Tobacco-Use Disparity in Gene Expression of ACE2, the Receptor of 2019-nCov https://www.preprints.org/manuscript/202002.0051/v1 Accessed February 18, 2020 Reduce your risk of serious lung disease caused by corona virus by quitting smoking and vaping https://tobacco.ucsf.edu/reduce-your-risk-serious-lung-disease-caused-corona-virus-quitting-smoking-and-vaping Accessed April 20, 2020 Relationship between the ABO Blood Group and the COVID-19 Susceptibility https://www.medrxiv.org/content/10.1101/2020.03.11.20031096v2 Accessed March 16, 2020 People Who Are at Higher Risk for Severe Illness - Older Adults https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/older-adults.html Accessed April 20, 2020 Clinical trials for Baricitinib https://clinicaltrials.gov/ct2/results?cond=COVID&term=baricitinib&cntry=&state=&city=&dist= Accessed April 30, 2020 Clinical trials for Bevacizumab https://clinicaltrials.gov/ct2/show/NCT04275414 Accessed April 30, 2020 Expert Consensus on Chloroquine Phosphate for the Treatment of Novel Coronavirus Pneumonia https://pubmed.ncbi.nlm.nih.gov/32075365/ Accessed April 30, 2020 Colchicine Coronavirus SARS-CoV2 Trial (COLCORONA) (COVID-19) https://clinicaltrials.gov/ct2/show/NCT04322682 Accessed April 30, 2020 Carolina researchers playing a key role in the development of new COVID-19 treatment https://www.unc.edu/posts/2020/04/06/carolina-researchers-key-role-in-the-development-of-new-covid-19-treatment/ Accessed April 30, 2020 Favipiravir http://global.chinadaily.com.cn/a/202002/17/WS5e49efc2a310128217277fa3.html Accessed April 30, 2020 Fingolimod in COVID-19 https://clinicaltrials.gov/ct2/show/NCT04280588 Accessed April 30, 2020 Hydroxychloroquine and Azitrhomy as a treatment for COVID-19 https://www.mediterranee-infection.com/hydroxychloroquine-and-azithromycin-as-a-treatment-of-covid-19/ Accessed April 30, 2020 In Vitro Antiviral Activity and Projection of Optimized Dosing Design of Hydroxychloroquine for the Treatment of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) https://pubmed.ncbi.nlm.nih.gov/32150618/ Accessed April 30, 2020 Lab experiments show anti-parasitic drug, Ivermectin, eliminates SARS-CoV-2 in cells in 48 hours https://www.monash.edu/discovery-institute/news-and-events/news/2020-articles/Lab-experiments-show-anti-parasitic-drug,#NAME?,-eliminates-SARS-CoV-2-in-cells-in-48-hours Accessed April 30, 2020 Bangkok Post https://www.bangkokpost.com/thailand/general/1860329/woman-74-recovers-from-virus-after-thai-cocktail Accessed April 30, 2020 A Trial of Lopinavir閳ユ彍itonavir in Adults Hospitalized with Severe Covid-19 https://www.nejm.org/doi/full/10.1056/NEJMoa2001282 Accessed April 30, 2020 Efficacy and Safety of Corticosteroids in COVID-19 https://clinicaltrials.gov/ct2/show/NCT04273321 Accessed April 30, 2020 Clinical trials for tocilizumab in COVID-19 https://clinicaltrials.gov/ct2/results?cond=COVID&term=tocilizumab&cntry=&state=&city=&dist= Accessed April 30, 2020 Clinical trials for umifenovir in COVID-19 https://clinicaltrials.gov/ct2/results?cond=COVID&term=umifenovir&cntry=&state=&city=&dist= Accessed April 30, 2020 Safety and Immunogenicity Study of 2019-nCoV Vaccine (mRNA-1273) for Prophylaxis SARS CoV-2 Infection (COVID-19) https://clinicaltrials.gov/ct2/show/NCT04283461 Accessed April 30, 2020 CSIRO begins testing Covid-19 vaccineshttps://www.csiro.au/en/News/News-releases/2020/CSIRO-begins-testing-Covid-19-vaccines Accessed April 30, 2020 MIGAL閳ユ獨 Coronavirus Vaccine Project https://www.migal.org.il/en/node/7010 Accessed April 30," 2020 Efficacy and tolerability of bevacizumab in patients with severe Covid-19: https://www.nature.com/articles/s41467-021-21085-8""",5%,Rx,,N,,,,https://www.drugs.com/condition/covid-19.html,https://www.drugs.com/mtm/sotrovimab.html
bamlanivimab / etesevimab,Covid 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" a""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
